,Date,ID,url,username,source,location,tweet,num_of_likes,num_of_retweet
0,2023-02-28 23:59:49+00:00,1630719450835025922,https://twitter.com/Shailen18768629/status/1630719450835025922,Shailen18768629,Twitter for Android,,@gautam_adani @narendramodi @AmitShah आज माननीय श्री गौतम अडानी जी आप इतना पीछे गए हैं तो वह गरीब कर्मचारियो का हाय लगा है क्योंकि लखनऊ एयरपोर्ट से 30/09/2021 को श्री सुनील कुमार पराठे जो की आपके अडानी ग्रुप के मैनेजर हैं इन्होंने काफी कर्मचारियों को निकाल दिया था l आपके स्टॉफ...,0,0
1,2023-02-28 23:59:31+00:00,1630719376994484225,https://twitter.com/Dharma4X/status/1630719376994484225,Dharma4X,TweetDeck,,"@SSR__jaihind @SwamyBhakt @Swamy39 @IndiaTamizhn @Dharma6X @mm_0774 @ragusmg2 @niku1630 @chitrapadhi @colkt @RupamDu22916188 @nviswam @sumit_kochhar @satbhakta @ranganaathan @vishalnautamlal @Meshsi1502Kn @8Y8ZQ @Geethabhati @jagdishshetty @JugalKhetan @ProfSukh @VijayRajan777 @iamnikunjshah @REIyer4 @VarshaThacker @ArvindChaturved @madhukishwar @rameshsethu @AmbujShrivast16 @sachin23kr @VHSAustralia @Treasure1725 @vijay_rajan @ashwani_mahajan @HindnburgRes @janataparty1977 @satyasabharwal Adani-Hindenburg issue: SEBI has not found any irregularities yet, claims report 🍀💥

https://t.co/dxSeYhyyLE https://t.co/PBrIuyRcUr",3,1
2,2023-02-28 23:59:25+00:00,1630719350272569344,https://twitter.com/Anson_Edment/status/1630719350272569344,Anson_Edment,Twitter for Android,Moon,"I shorted this....way before this Adani scam and shit...
The down trend will not end as of Now....
I started shorting from December 1st week",0,0
3,2023-02-28 23:58:43+00:00,1630719175844044800,https://twitter.com/Dravid1987/status/1630719175844044800,Dravid1987,Twitter Web App,,Adani back on track ? https://t.co/5RorkwnwF4,0,0
4,2023-02-28 23:58:19+00:00,1630719075587436545,https://twitter.com/StocksbyPrakhar/status/1630719075587436545,StocksbyPrakhar,Twitter Web App,India,@iramyram Adani Ent and Indices.,1,0
5,2023-02-28 23:56:25+00:00,1630718597139173376,https://twitter.com/Kachha_Pakka/status/1630718597139173376,Kachha_Pakka,Twitter for Android,,"@TVMohandasPai How do explain the PE value...which path breaking tech did adani discover...

@SanjayJha",0,0
6,2023-02-28 23:56:10+00:00,1630718534425939970,https://twitter.com/Thakurgaurav007/status/1630718534425939970,Thakurgaurav007,Twitter for Android,"Mumbai, India","@roshnikushal Thats the main reason BJP and his party created fake news. 

They all think people forget the adani and his scam.",0,0
7,2023-02-28 23:55:38+00:00,1630718401172881408,https://twitter.com/rockyrocksnow/status/1630718401172881408,rockyrocksnow,Twitter for iPhone,Union of India,"@Amit_Gulecha @TanvirRoyal1 Bhai Amit, tum aur Rishi milke logonko chuyiya banare hoo, common sense nahi hai ki Adani has damaged the reputation of indian market, SEBI, RBI lost their credibility by not investigating the serious matter! Stop fooling people! We are not stupid like fake message fedler Rishi",0,0
8,2023-02-28 23:55:35+00:00,1630718387147116544,https://twitter.com/AskAmbedkar/status/1630718387147116544,AskAmbedkar,Twitter for Android,"Nagpur of Deekshabhoomi, India","If borrowing more than three times what you are eligible may be bad business for borrower, but it's outright #corruption on lender's part.
It's such a simple logic. Why the agencies can't smell a rat?

There is a #Con, if not #Adani, Who?",2,0
9,2023-02-28 23:55:34+00:00,1630718385230348288,https://twitter.com/AskAmbedkar/status/1630718385230348288,AskAmbedkar,Twitter for Android,"Nagpur of Deekshabhoomi, India","Calling it bad business, not con is bad teaching too!
Or, this article doesn't capture the full intent of @AswathDamodaran's blog.

adani stocks: Adani Group's over-leveraging shows bad business practice, not con: Aswath Damodaran - The Economic Times https://t.co/IdJMJUQBvO",1,0
